property_id,stay_date,listed_price,booked_price,status,lead_time_days,channel,reservation_id
summit_haus,2024-11-01,2688.0,2634.0,booked,1,airbnb,summit_haus-2024-11-01
summit_haus,2024-11-02,2688.0,,available,1,,
summit_haus,2024-11-03,2208.0,,available,2,,
summit_haus,2024-11-04,2208.0,,available,3,,
summit_haus,2024-11-05,2208.0,,available,4,,
summit_haus,2024-11-06,2208.0,2164.0,booked,5,airbnb,summit_haus-2024-11-06
summit_haus,2024-11-07,2208.0,,available,6,,
summit_haus,2024-11-08,2688.0,,available,7,,
summit_haus,2024-11-09,2688.0,,available,8,,
summit_haus,2024-11-10,2208.0,,available,9,,
summit_haus,2024-11-11,2208.0,2164.0,booked,10,airbnb,summit_haus-2024-11-11
summit_haus,2024-11-12,2208.0,,available,11,,
summit_haus,2024-11-13,2208.0,,available,12,,
summit_haus,2024-11-14,2208.0,,available,13,,
summit_haus,2024-11-15,2688.0,,available,14,,
summit_haus,2024-11-16,2688.0,2634.0,booked,15,airbnb,summit_haus-2024-11-16
summit_haus,2024-11-17,2208.0,,available,16,,
summit_haus,2024-11-18,2208.0,,available,17,,
summit_haus,2024-11-19,2208.0,,available,18,,
summit_haus,2024-11-20,2208.0,,available,19,,
summit_haus,2024-11-21,2208.0,2164.0,booked,20,airbnb,summit_haus-2024-11-21
summit_haus,2024-11-22,2688.0,,available,21,,
summit_haus,2024-11-23,2688.0,,available,22,,
summit_haus,2024-11-24,2208.0,,available,23,,
summit_haus,2024-11-25,2208.0,,available,24,,
summit_haus,2024-11-26,2208.0,2164.0,booked,25,airbnb,summit_haus-2024-11-26
summit_haus,2024-11-27,2208.0,,available,26,,
summit_haus,2024-11-28,2208.0,,available,27,,
summit_haus,2024-11-29,2688.0,,available,28,,
summit_haus,2024-11-30,2688.0,,available,29,,
summit_haus,2024-12-01,2208.0,2164.0,booked,30,airbnb,summit_haus-2024-12-01
summit_haus,2024-12-02,2208.0,,available,31,,
summit_haus,2024-12-03,2208.0,,available,32,,
summit_haus,2024-12-04,2208.0,,available,33,,
summit_haus,2024-12-05,2208.0,,available,34,,
summit_haus,2024-12-06,2688.0,2634.0,booked,35,airbnb,summit_haus-2024-12-06
summit_haus,2024-12-07,2688.0,,available,36,,
summit_haus,2024-12-08,2208.0,,available,37,,
summit_haus,2024-12-09,2208.0,,available,38,,
