property_id,inquiry_date,stay_date,inquiry_count,quote_shown,converted
cabin_ridge,2026-02-01,2026-03-10,1,855.0,0
cabin_ridge,2026-02-04,2026-03-11,1,855.0,1
cabin_ridge,2026-02-07,2026-03-12,1,855.0,1
cabin_ridge,2026-02-10,2026-03-13,1,855.0,0
cabin_ridge,2026-02-13,2026-03-14,1,855.0,1
cabin_ridge,2026-02-16,2026-03-15,1,855.0,1
cabin_ridge,2026-02-19,2026-03-16,1,855.0,0
cabin_ridge,2026-02-22,2026-03-17,1,855.0,1
aspen_glow,2026-02-01,2026-03-10,1,742.5,0
aspen_glow,2026-02-04,2026-03-11,1,742.5,1
aspen_glow,2026-02-07,2026-03-12,1,742.5,1
aspen_glow,2026-02-10,2026-03-13,1,742.5,0
aspen_glow,2026-02-13,2026-03-14,1,742.5,1
aspen_glow,2026-02-16,2026-03-15,1,742.5,1
aspen_glow,2026-02-19,2026-03-16,1,742.5,0
aspen_glow,2026-02-22,2026-03-17,1,742.5,1
fraser_view,2026-02-01,2026-03-10,1,585.0,0
fraser_view,2026-02-04,2026-03-11,1,585.0,1
fraser_view,2026-02-07,2026-03-12,1,585.0,1
fraser_view,2026-02-10,2026-03-13,1,585.0,0
fraser_view,2026-02-13,2026-03-14,1,585.0,1
fraser_view,2026-02-16,2026-03-15,1,585.0,1
fraser_view,2026-02-19,2026-03-16,1,585.0,0
fraser_view,2026-02-22,2026-03-17,1,585.0,1
idlewild_loft,2026-02-01,2026-03-10,1,517.5,0
idlewild_loft,2026-02-04,2026-03-11,1,517.5,1
idlewild_loft,2026-02-07,2026-03-12,1,517.5,1
idlewild_loft,2026-02-10,2026-03-13,1,517.5,0
idlewild_loft,2026-02-13,2026-03-14,1,517.5,1
idlewild_loft,2026-02-16,2026-03-15,1,517.5,1
idlewild_loft,2026-02-19,2026-03-16,1,517.5,0
idlewild_loft,2026-02-22,2026-03-17,1,517.5,1
